ntd_id,service_area_sq_miles,service_area_pop
90052,39,160238
90086,82,320785
11158,,
40235,183,205414
20010,173,295911
50527,46,86000
30076,65,81100
70255,,
70006,558,1563103
30045,2719,283142
77084,,
90140,181,202183
40182,30,75293
00326,,
30174,,
66333,,
10167,,
55330,,
60199,,
91052,,
70197,,
70191,,
55601,,
55447,,
30138,,
00389,,
40162,22,86895
60081,44,80445
03R03,,
44978,,
40045,171,136487
80202,,
30200,10,18545
91008,,
00312,,
55673,,
22937,,
40224,657,275901
40017,284,295803
30012,688,133472
00279,,
07R04,,
09R05,,
80154,,
55634,,
50242,36,42075
91061,20,5843
90032,520,1650070
41086,162,70000
40907,,
44964,,
40997,,
99465,,
30206,5619,1544476
40935,,
50272,,
50526,,
40120,62,86589
88278,,
50409,,
70220,,
90173,310,136957
40971,,
41077,,
70181,,
90215,26,58639
50202,,
70209,,
88289,,
31034,,
00410,,
00463,,
50004,36,80201
50307,,
80225,,
00333,14,42230
10176,,
70273,,
99419,,
20968,175,351997
40955,,
41131,,
60142,,
90273,7,63387
A0030,,
55600,,
41197,,
90014,364,1586454
55398,,
40931,,
40001,289,187030
30013,77,189872
44987,,
91032,,
41022,,
66152,,
80166,,
50027,468,1669091
00375,,
55641,,
50330,,
80189,,
60107,5754,320535
20179,132,249175
80013,27,57561
50427,,
77092,,
90289,5,54908
80140,,
50567,35,56836
55412,,
70124,,
40990,,
70072,,
50042,11,26370
40117,46,54414
90200,55,85025
40194,52,71264
99358,,
60253,,
91022,,
30996,,
41107,,
88286,,
40011,95,116065
50117,627,326867
80262,,
41138,285,137133
10061,624,231493
50392,,
50494,,
90119,9,23190
40251,35,166611
66236,,
40132,35,36303
55345,,
70016,61,126853
20954,,
40273,1015,606612
60271,,
80017,,
41064,698,99727
50003,27,99894
04R07,,
30173,,
20169,353,194009
41025,1050,150448
10140,439,164245
70219,,
00382,,
41198,58,105192
50284,,
91082,,
30090,62,194123
55547,,
90031,2500,1909017
70167,,
41042,,
91002,,
50382,,
90154,4632,10287086
60209,,
10130,81,203562
50430,,
88224,,
66309,,
05R01,,
00004,,
55441,,
80125,,
50133,12,14731
50450,,
70241,,
10040,156,167885
40227,762,207298
41183,,
22971,,
70052,546,62097
20932,,
70116,,
20227,62,30743
08R01,,
00301,,
31016,,
55406,,
40944,,
00424,,
90255,6,34484
60172,,
00043,197,122915
55581,,
60276,4,26656
99458,,
31023,,
80299,100,752000
50533,48,47042
60208,,
50350,,
20988,,
41150,,
55325,,
60258,,
40041,418,1127178
60135,,
41092,3256,294590
70158,,
22948,,
31041,,
91113,,
50556,73,3500
55585,,
55365,,
90090,109,528880
66282,,
50217,,
60008,1309,4038849
20216,62,166160
55525,,
44982,,
66327,,
50032,637,406211
50037,57,94036
30130,133,237644
00419,,
30040,20,97649
40972,,
90216,551,2083464
50416,,
40158,71,97497
70259,,
91059,906,155249
70201,456,118785
31046,,
90196,169,402940
80252,,
30072,18,95628
60070,,
50359,,
40950,2897,525455
60234,,
20080,5325,8464944
10002,235,248263
99469,,
80294,,
55393,,
50182,1325,4635858
70001,99,294757
70148,,
44946,,
31009,,
01R07,,
22944,,
80205,,
00341,,
40176,,
50466,,
41156,,
40086,198,1176968
90147,465,4849476
60195,,
30194,,
30008,72,80846
90243,54,178200
70115,,
40963,,
50265,640,418408
11152,,
00363,1871,421000
50424,,
77063,,
44957,,
99425,61,252880
41068,571,131439
70185,,
88304,,
90036,435,2860175
60150,,
11235,,
40095,35,84554
30077,34,54000
A0017,,
41002,,
20959,142,50269
50008,241,914332
40190,6563,1176033
40208,94,42791
50521,89,69764
00458,,
00398,,
41114,648,101501
88128,,
90002,277,1016508
55649,,
50517,36,71618
40128,183,211668
55514,,
55571,,
70232,,
00063,,
30023,440,168215
40029,410,2200561
30081,516,420959
41045,,
55539,,
30117,,
40232,110,320753
90278,36,24798
40006,112,191698
50478,,
00231,,
99454,,
55228,,
31000,,
60154,,
80134,,
41082,,
10119,51,79000
00021,776,237806
41143,,
40255,,
90211,50,358000
40022,605,1742072
10086,368,167231
55310,,
80028,33,117065
44972,,
50058,156,277458
00404,,
60264,,
55480,,
50336,,
40024,132,230208
70103,,
40277,11,33463
20202,,
41005,,
00316,,
50538,5,25000
70032,39,71362
60208,,
55276,,
90026,902,2269953
10173,,
55349,,
90296,13,36700
60127,,
40985,,
50142,13,25273
40064,3250,228376
90234,520,262321
88158,,
50290,,
70078,,
55552,,
91121,,
55520,,
80151,,
50165,425,172347
80120,,
90284,2,27748
50497,,
20196,,
50088,23,59490
99436,,
50437,,
70056,1430,67380
10014,866,578732
41179,,
10145,,
A0001,,
99473,,
99328,,
41033,,
90251,7,76056
55425,,
90314,982,2420608
00065,675,96017
41120,,
50454,,
90004,149,554569
00280,,
00464,,
31039,,
66271,,
55563,,
60192,25887,153937
55430,,
70137,,
80217,,
50376,,
70063,,
55590,,
50211,,
50400,,
55338,,
90250,9,48676
00437,,
40150,19,24650
00443,,
10177,,
50015,458,1264817
90262,1,24103
50013,,
20935,,
00019,101,206183
41098,,
30123,2777,186722
20072,911,1523170
40035,2864,2456081
22964,,
60004,,
40214,361,225791
55557,,
80180,,
50160,431,138727
50095,49,127025
20969,,
77077,,
70206,,
00371,,
70132,,
60183,,
70005,459,621956
50233,,
55611,,
55531,,
10197,,
60058,24,43764
41162,,
20981,,
30112,24,317779
55360,,
70266,,
50505,,
90263,13,108816
80268,,
40982,,
88281,,
90041,151,361624
A0021,,
40172,1665,372155
55385,,
60243,,
11245,,
44942,,
50552,21,22065
50193,2562,10041771
55454,,
50050,396,969466
50258,,
31003,,
80238,,
50052,68,154346
80002,65,192517
30068,407,1172646
40924,,
00035,1945,3919300
90230,2517,9402441
60260,1945,222321
50340,,
50277,,
70173,,
60116,878,859064
80155,,
80289,,
40077,32,156313
50513,,
55535,,
10183,2100,329344
60049,55,120316
55653,,
50152,22,35037
99376,,
88296,,
66335,,
40020,21,60011
44953,20,198
80174,,
50503,,
60184,,
31019,,
55575,,
41078,,
55415,,
80110,7243,220414
30184,,
88279,,
50053,18,59614
00409,,
50191,7945,1480578
50274,2975,2849712
70210,,
80005,131,417875
30151,60,80508
60146,,
99422,1426,784298
70040,105,115490
